CEBPB,SP3
CEBPB,SPI1
CEBPB,STAT3
CEBPB,TFAP4
CEBPB,USF1
CEBPD,SMAD3
CEBPD,SMAD4
CEBPG,ATF2
CEBPG,DDIT3
CEBPG,FOS
CEBPG,FOSL1
CEBPG,JUN
CEBPG,KLF5
CLOCK,BHLHE41
CLOCK,NPAS2
CLOCK,RARA
CREB1,ARNT
CREB1,ATF1
CREB1,EP300
CREB1,HDAC2
CREB1,HOXD13
CREB1,JUN
CREB1,JUND
CREB1,NFATC2
CREB1,NFIA
CREB1,NFIC
CREB1,NFIX
CREB1,NFYA
CREB1,NFYB
CREB1,NR3C1
CREB1,PBX2
CREB1,POU2F1
CREB1,RFX3
CREB1,RFX5
CREB1,SREBF2
CREB1,STAT3
CREB1,TP53
CREB5,ATF2
CREB5,ATF7
CREB5,BACH1
CREB5,FOS
CREB5,FOSL1
CREB5,JUN
CREB5,JUND
CREB5,PRDM14
CRX,FOXH1
CRX,NR2E3
CRX,SOX14
CRX,SOX3
CRX,SOX5
CRX,SP1
CRX,SP3
CRX,TCF7L2
CTCFL,SP1
CTCFL,TBP
DDIT3,ATF2
DDIT3,BACH1
DDIT3,EP300
DDIT3,EPAS1
DDIT3,FOS
DDIT3,FOSL1
DDIT3,FOSL2
DDIT3,HOXA5
DDIT3,JUN
DDIT3,JUNB
DDIT3,JUND
DDIT3,MAFF
DDIT3,MAFG
DUX4,EP300
DUX4,HAND2
DUX4,HDAC2
E2F1,CEBPD
E2F1,E2F3
E2F1,ESR1
E2F1,MGA
E2F1,MYBL2
E2F1,NFKB1
E2F1,RARA
E2F1,SP1
E2F1,SP2
E2F1,SP3
E2F1,STAT1
E2F1,TBP
E2F1,TP53
E2F1,TRIM28
E2F3,MGA
E2F3,MYBL2
E2F3,SP1
E2F3,TFE3
E2F3,TRIM28
E2F3,USF1
E2F4,ID2
E2F4,MGA
E2F4,SIN3A
E2F4,SMAD3
E2F4,TP53
E2F4,TRIM28
E2F6,HDAC2
E2F6,MAX
E2F6,MGA
E2F6,NFYA
E2F7,HIF1A
EGR1,EP300
EGR1,FOSL2
EGR1,JUNB
EGR1,JUND
EGR1,PITX1
EGR1,SP1
EGR1,TP53
ELF1,HOXC13
ELF1,NFKB1
ELF1,REL
ELF3,EP300
ELF3,JUN
ELF3,MYC
ELF3,NFKB1
ELF3,RELA
ELF3,SOX9
ELF3,TBP
ELF5,SIRT6
ELK1,EP300
ELK1,EPAS1
ELK1,FLI1
ELK1,HOXB13
ELK1,KLF4
ELK1,SIN3A
ELK1,SRF
ELK4,SRF
EP300,ARNT
EP300,ARNTL
EP300,ATF2
EP300,BCL6
EP300,CEBPD
EP300,CLOCK
EP300,CRX
EP300,E2F1
EP300,EPAS1
EP300,ESR1
EP300,ETS1
EP300,ETS2
EP300,FOS
EP300,FOSB
EP300,FOSL1
EP300,FOSL2
EP300,FOXK1
EP300,FOXO1
EP300,FOXO3
EP300,FOXP3
EP300,GABPA
EP300,GATA2
EP300,GATA4
EP300,HDAC2
EP300,HIF1A
EP300,HSF1
EP300,IRF1
EP300,JUN
EP300,JUNB
EP300,JUND
EP300,KLF13
EP300,KLF4
EP300,KLF5
EP300,MAF
EP300,MAX
EP300,MYB
EP300,MYBL2
EP300,MYC
EP300,MYOD1
EP300,NANOG
EP300,NFATC1
EP300,NFATC2
EP300,NFKB1
EP300,NFYB
EP300,NPAS2
EP300,NR1H4
EP300,NR3C1
EP300,NR4A1
EP300,PAX6
EP300,PGR
EP300,PPARG
EP300,RARA
EP300,REL
EP300,RELA
EP300,RORA
EP300,RUNX1
EP300,RUNX2
EP300,RUNX3
EP300,RXRA
EP300,SMAD2
EP300,SMAD3
EP300,SMAD4
EP300,SOX4
EP300,SOX9
EP300,SP1
EP300,SP3
EP300,SREBF1
EP300,SREBF2
EP300,SRY
EP300,STAT1
EP300,STAT2
EP300,STAT3
EP300,STAT5A
EP300,STAT6
EP300,TAL1
EP300,TCF12
EP300,TCF3
EP300,TFAP2A
EP300,THRA
EP300,TP53
EP300,TP63
EP300,TP73
EP300,USF2
EP300,VDR
EP300,YY1
EP300,ZBTB33
EP300,ZEB1
EP300,ZEB2
EPAS1,BATF3
EPAS1,ESR1
EPAS1,HIF1A
EPAS1,JUN
EPAS1,MYBL2
EPAS1,SIN3A
EPAS1,SMAD3
EPAS1,SP1
EPAS1,STAT5A
EPAS1,TFAP2A
EPAS1,USF2
ESR1,ATF1
ESR1,CHD2
ESR1,CREB3L4
ESR1,E2F6
ESR1,ESR2
ESR1,ESRRA
ESR1,ETV6
ESR1,FOSL2
ESR1,FOXA1
ESR1,FOXJ3
ESR1,FOXK1
ESR1,FOXK2
ESR1,FOXO1
ESR1,FOXO4
ESR1,GABPA
ESR1,GATA3
ESR1,GRHL2
ESR1,HDAC2
ESR1,HIF1A
ESR1,HOXC10
ESR1,HOXD9
ESR1,JUN
ESR1,JUNB
ESR1,KLF4
ESR1,KLF5
ESR1,MAZ
ESR1,MYC
ESR1,MYOD1
ESR1,NFATC2
ESR1,NFIB
ESR1,NFYA
ESR1,NR2C2
ESR1,NR2F1
ESR1,NR2F2
ESR1,PATZ1
ESR1,PBX1
ESR1,PGR
ESR1,RELA
ESR1,RXRA
ESR1,SIN3A
ESR1,SIX4
ESR1,SMAD2
ESR1,SP1
ESR1,SP2
ESR1,SP3
ESR1,STAT1
ESR1,STAT3
ESR1,STAT5A
ESR1,TBP
ESR1,TBX2
ESR1,TFAP2C
ESR1,TP53
ESR1,XBP1
ESR1,ZFP42
